Name,Sprung.Tritte,Schwingende.Körbe,Balance.Brücken,Bungee.Flug,Feder.Bretter,Flug.Wippen,Wand,Mega.Wand,Riesenrad,Doppelter.Rohrschlitten.mit.Cargo.Netz,Zeit,Gefallen,Geschafft,Bezwungen
Giovanni Ertl      ,1,1,1,1,1,1,0,1,1,1,5:26.94m,0,9, Sprung.Tritte Schwingende.Körbe Balance.Brücken Bungee.Flug Feder.Bretter Flug.Wippen Mega.Wand Riesenrad Doppelter.Rohrschlitten.mit.Cargo.Netz
Benjamin Grams      ,1,1,1,1,1,1,0,1,1,1,5:36.11m,0,9, Sprung.Tritte Schwingende.Körbe Balance.Brücken Bungee.Flug Feder.Bretter Flug.Wippen Mega.Wand Riesenrad Doppelter.Rohrschlitten.mit.Cargo.Netz
Max Sprenger  ,1,1,1,1,1,1,0,1,1,1,5:45.23m,0,9, Sprung.Tritte Schwingende.Körbe Balance.Brücken Bungee.Flug Feder.Bretter Flug.Wippen Mega.Wand Riesenrad Doppelter.Rohrschlitten.mit.Cargo.Netz
Samuel Dufner      ,1,1,1,1,1,1,1,0,1,1,5:56.97m,0,9, Sprung.Tritte Schwingende.Körbe Balance.Brücken Bungee.Flug Feder.Bretter Flug.Wippen Wand Riesenrad Doppelter.Rohrschlitten.mit.Cargo.Netz
Leon Wismann   ,1,1,1,1,1,1,1,0,1,1,6:08.64m,0,9, Sprung.Tritte Schwingende.Körbe Balance.Brücken Bungee.Flug Feder.Bretter Flug.Wippen Wand Riesenrad Doppelter.Rohrschlitten.mit.Cargo.Netz
Richard Pech   ,1,1,1,1,1,1,1,0,1,1,6:10.30m,0,9, Sprung.Tritte Schwingende.Körbe Balance.Brücken Bungee.Flug Feder.Bretter Flug.Wippen Wand Riesenrad Doppelter.Rohrschlitten.mit.Cargo.Netz
Christian Kirstges      ,1,1,1,1,1,1,0,1,1,1,6:13.93m,0,9, Sprung.Tritte Schwingende.Körbe Balance.Brücken Bungee.Flug Feder.Bretter Flug.Wippen Mega.Wand Riesenrad Doppelter.Rohrschlitten.mit.Cargo.Netz
Fabian Ströbele      ,1,1,1,1,1,1,1,0,1,1,6:29.38m,0,9, Sprung.Tritte Schwingende.Körbe Balance.Brücken Bungee.Flug Feder.Bretter Flug.Wippen Wand Riesenrad Doppelter.Rohrschlitten.mit.Cargo.Netz
Niklas Woltmann      ,1,1,1,1,1,1,1,0,1,1,6:43.92m,0,9, Sprung.Tritte Schwingende.Körbe Balance.Brücken Bungee.Flug Feder.Bretter Flug.Wippen Wand Riesenrad Doppelter.Rohrschlitten.mit.Cargo.Netz
Alexander Wurm      ,1,1,1,1,1,1,1,0,1,1,6:44.18m,0,9, Sprung.Tritte Schwingende.Körbe Balance.Brücken Bungee.Flug Feder.Bretter Flug.Wippen Wand Riesenrad Doppelter.Rohrschlitten.mit.Cargo.Netz
Philipp Göthert      ,1,1,1,1,1,1,1,0,1,1,7:11.01m,0,9, Sprung.Tritte Schwingende.Körbe Balance.Brücken Bungee.Flug Feder.Bretter Flug.Wippen Wand Riesenrad Doppelter.Rohrschlitten.mit.Cargo.Netz
Max Prinz     ,1,1,1,1,1,1,1,0,1,1,7:11.32m,0,9, Sprung.Tritte Schwingende.Körbe Balance.Brücken Bungee.Flug Feder.Bretter Flug.Wippen Wand Riesenrad Doppelter.Rohrschlitten.mit.Cargo.Netz
Jescher Heidl     ,1,1,1,1,1,1,1,0,1,1,10:21.23m,0,9, Sprung.Tritte Schwingende.Körbe Balance.Brücken Bungee.Flug Feder.Bretter Flug.Wippen Wand Riesenrad Doppelter.Rohrschlitten.mit.Cargo.Netz
Astrid Sibon  ,1,1,1,1,1,1,1,0,1,1,10:39.15m,0,9, Sprung.Tritte Schwingende.Körbe Balance.Brücken Bungee.Flug Feder.Bretter Flug.Wippen Wand Riesenrad Doppelter.Rohrschlitten.mit.Cargo.Netz
Marius Bender      ,1,1,1,1,1,1,1,1,0,0, 5:25.83m,Riesenrad,8, Sprung.Tritte Schwingende.Körbe Balance.Brücken Bungee.Flug Feder.Bretter Flug.Wippen Wand Mega.Wand
Lukas Kern     ,1,1,1,1,1,1,1,0,1,0,6:18.27m,Doppelter.Rohrschlitten.mit.Cargo.Netz,8, Sprung.Tritte Schwingende.Körbe Balance.Brücken Bungee.Flug Feder.Bretter Flug.Wippen Wand Riesenrad
Marvin Mitterhuber      ,1,1,1,1,1,1,1,0,1,0,7:45.75m,Doppelter.Rohrschlitten.mit.Cargo.Netz,8, Sprung.Tritte Schwingende.Körbe Balance.Brücken Bungee.Flug Feder.Bretter Flug.Wippen Wand Riesenrad
Rene Sperlich      ,1,1,1,1,1,1,1,1,0,0, 8:24.66m,Riesenrad,8, Sprung.Tritte Schwingende.Körbe Balance.Brücken Bungee.Flug Feder.Bretter Flug.Wippen Wand Mega.Wand
Eric Zekina   ,1,1,1,1,1,1,1,0,1,0,5:05.93m,Doppelter.Rohrschlitten.mit.Cargo.Netz,8, Sprung.Tritte Schwingende.Körbe Balance.Brücken Bungee.Flug Feder.Bretter Flug.Wippen Wand Riesenrad
Björn Graul   ,1,1,1,1,1,1,1,0,0,0,  5:48.81m,Mega.Wand,7, Sprung.Tritte Schwingende.Körbe Balance.Brücken Bungee.Flug Feder.Bretter Flug.Wippen Wand
Daniel Schmidt      ,1,1,1,1,1,1,1,1,0,0, 6:12.27m,Riesenrad,8, Sprung.Tritte Schwingende.Körbe Balance.Brücken Bungee.Flug Feder.Bretter Flug.Wippen Wand Mega.Wand
Christian Range      ,1,1,1,1,1,1,1,1,0,0, 7:33.75m,Riesenrad,8, Sprung.Tritte Schwingende.Körbe Balance.Brücken Bungee.Flug Feder.Bretter Flug.Wippen Wand Mega.Wand
Frank Schmidpeter      ,1,1,1,1,1,1,1,0,1,0,9:22.98m,Doppelter.Rohrschlitten.mit.Cargo.Netz,8, Sprung.Tritte Schwingende.Körbe Balance.Brücken Bungee.Flug Feder.Bretter Flug.Wippen Wand Riesenrad
Christian Krömer      ,1,1,1,1,1,1,1,0,1,0,11:37.87m,Doppelter.Rohrschlitten.mit.Cargo.Netz,8, Sprung.Tritte Schwingende.Körbe Balance.Brücken Bungee.Flug Feder.Bretter Flug.Wippen Wand Riesenrad
Timo Seifried      ,1,1,1,1,1,1,1,0,0,0, 5:15.83m ,Mega.Wand,7, Sprung.Tritte Schwingende.Körbe Balance.Brücken Bungee.Flug Feder.Bretter Flug.Wippen Wand
Michael Siegmund      ,1,1,1,1,1,1,1,0,0,0,3:21.80m ,Riesenrad,7, Sprung.Tritte Schwingende.Körbe Balance.Brücken Bungee.Flug Feder.Bretter Flug.Wippen Wand
Roy Sperlich   ,1,1,1,1,1,0,0,0,0,0, 4:16.83m   ,Flug.Wippen,5, Sprung.Tritte Schwingende.Körbe Balance.Brücken Bungee.Flug Feder.Bretter
Siegfried Sperlich      ,1,1,1,1,1,0,0,0,0,0,4:32.35m  ,Flug.Wippen,5, Sprung.Tritte Schwingende.Körbe Balance.Brücken Bungee.Flug Feder.Bretter
Simon Friesenecker      ,1,1,1,1,1,0,0,0,0,0,5:07.89m  ,Flug.Wippen,5, Sprung.Tritte Schwingende.Körbe Balance.Brücken Bungee.Flug Feder.Bretter
Arleen Schüßler      ,1,1,1,1,1,0,0,0,0,0,7:13.57m  ,Flug.Wippen,5, Sprung.Tritte Schwingende.Körbe Balance.Brücken Bungee.Flug Feder.Bretter
Niklas Wiesenzarter      ,1,1,1,1,1,0,0,0,0,0,3:01.52m  ,Flug.Wippen,5, Sprung.Tritte Schwingende.Körbe Balance.Brücken Bungee.Flug Feder.Bretter
Marco Layer   ,1,1,1,1,1,0,0,0,0,0,   3:16.50m ,Flug.Wippen,5, Sprung.Tritte Schwingende.Körbe Balance.Brücken Bungee.Flug Feder.Bretter
David Wolf     ,1,1,1,1,1,0,0,0,0,0,4:24.09m  ,Flug.Wippen,5, Sprung.Tritte Schwingende.Körbe Balance.Brücken Bungee.Flug Feder.Bretter
Katharina Blank      ,1,1,1,1,1,0,0,0,0,0, 4:56.55m ,Flug.Wippen,5, Sprung.Tritte Schwingende.Körbe Balance.Brücken Bungee.Flug Feder.Bretter
Kevin Herzog   ,1,1,1,1,1,0,0,0,0,0, 2:17.37m   ,Flug.Wippen,5, Sprung.Tritte Schwingende.Körbe Balance.Brücken Bungee.Flug Feder.Bretter
Xhemë Krasniqi   ,1,1,1,1,1,0,0,0,0,0, 2:35.23m ,Flug.Wippen,5, Sprung.Tritte Schwingende.Körbe Balance.Brücken Bungee.Flug Feder.Bretter
Marco Sperdin      ,1,1,1,1,1,0,0,0,0,0, 4:07.08m ,Flug.Wippen,5, Sprung.Tritte Schwingende.Körbe Balance.Brücken Bungee.Flug Feder.Bretter
Stephan Schmid      ,1,1,1,1,1,0,0,0,0,0, 3:04.95m ,Flug.Wippen,5, Sprung.Tritte Schwingende.Körbe Balance.Brücken Bungee.Flug Feder.Bretter
Kevin Meyer   ,1,1,1,1,1,0,0,0,0,0,   4:35.19m ,Flug.Wippen,5, Sprung.Tritte Schwingende.Körbe Balance.Brücken Bungee.Flug Feder.Bretter
Kasimir Meyer      ,1,1,1,0,0,0,0,0,0,0,   2:33.84m ,Bungee.Flug,3, Sprung.Tritte Schwingende.Körbe Balance.Brücken
Elisa Van der Wel     der Wel   ,1,1,1,0,0,0,0,0,0,0, 2:41.59m ,Bungee.Flug,3, Sprung.Tritte Schwingende.Körbe Balance.Brücken
Marian Lotze   ,1,1,1,0,0,0,0,0,0,0,1:39.60m  ,Bungee.Flug,3, Sprung.Tritte Schwingende.Körbe Balance.Brücken
Christopher Von Stelzer         ,1,1,1,0,0,0,0,0,0,0,1:58.80m  ,Bungee.Flug,3, Sprung.Tritte Schwingende.Körbe Balance.Brücken
Hannah Mees   ,1,1,1,0,0,0,0,0,0,0,2:49.28m  ,Bungee.Flug,3, Sprung.Tritte Schwingende.Körbe Balance.Brücken
Benedikt Sigmund      ,1,1,0,0,0,0,0,0,0,0, 53.22s ,Balance.Brücken,2, Sprung.Tritte Schwingende.Körbe
Rita Benker   ,1,1,0,0,0,0,0,0,0,0,   1:49.85m ,Balance.Brücken,2, Sprung.Tritte Schwingende.Körbe
Manasse Heidl      ,1,1,0,0,0,0,0,0,0,0,1:02.23m  ,Balance.Brücken,2, Sprung.Tritte Schwingende.Körbe
Natnael Olbrich      ,1,1,0,0,0,0,0,0,0,0, 1:10.81m   ,Balance.Brücken,2, Sprung.Tritte Schwingende.Körbe
Uwe Weitzer   ,1,1,0,0,0,0,0,0,0,0,   16.03s ,Balance.Brücken,2, Sprung.Tritte Schwingende.Körbe
Artur Schreiber      ,1,1,1,1,1,1,1,0,1,1,4:27.76m,0,9, Sprung.Tritte Schwingende.Körbe Balance.Brücken Bungee.Flug Feder.Bretter Flug.Wippen Wand Riesenrad Doppelter.Rohrschlitten.mit.Cargo.Netz
Lukas Kilian   ,1,1,1,1,1,1,0,1,1,1,6:03.48m,0,9, Sprung.Tritte Schwingende.Körbe Balance.Brücken Bungee.Flug Feder.Bretter Flug.Wippen Mega.Wand Riesenrad Doppelter.Rohrschlitten.mit.Cargo.Netz
René Casselly      ,1,1,1,1,1,1,0,1,1,0,3:07.22m ,Doppelter.Rohrschlitten.mit.Cargo.Netz,8, Sprung.Tritte Schwingende.Körbe Balance.Brücken Bungee.Flug Feder.Bretter Flug.Wippen Mega.Wand Riesenrad
